Medi Spa Name,Address,City,ZIP Code,Latitude,Longitude,Services,Price Range
Northwest Face & Body,5350 Tallman Ave NW Suite 301,Seattle,98107,47.6689,-122.3823,"Plastic Surgery & Medical Spa",$$$$
Laser Aesthetics of Seattle,2101 NE 125th St Suite 101,Seattle,98125,47.7189,-122.3134,"Laser Treatments, IPL",$$$
Issaquah Medical Spa,1690 NW Gilman Blvd Suite 2,Issaquah,98027,47.5389,-122.0534,"Botox, Fillers, Laser",$$$$
Discover Cutera,22833 NE Marketplace Dr,Redmond,98053,47.6789,-122.0267,"Laser, Body Contouring, Skin Rejuvenation",$$$
Redmond Dermatology,16150 NE 85th St Suite 115,Redmond,98052,47.6756,-122.1189,"Dermatology & Medical Spa",$$$$
Kirkland Plastic Surgery,12911 120th Ave NE Suite D-50,Kirkland,98034,47.7156,-122.1889,"Medical Spa & Plastic Surgery",$$$$
Spa Synergie,106 Lake St S Suite 106,Kirkland,98033,47.6756,-122.2067,"Medical Facials, Body Treatments",$$$
The Rejuvenation Clinic of Kirkland,12911 120th Ave NE,Kirkland,98034,47.7156,-122.1889,"Anti-aging, Hormone Therapy",$$$
Mercer Island Medical Spa,7683 SE 27th St Suite 148,Mercer Island,98040,47.5723,-122.2289,"Full Service Medical Spa",$$$$
Woodinville MedSpa,17530 135th Ave NE Suite A,Woodinville,98072,47.7534,-122.1267,"Laser, Botox, Facials",$$$
Sammamish Aesthetics,550 228th Ave NE Suite 109,Sammamish,98074,47.6189,-122.0467,"Botox, Fillers, Laser Treatments",$$$$
Renton Laser & Skin Care,4011 Talbot Rd S Suite 350,Renton,98055,47.4867,-122.2167,"Laser Hair Removal, Facials",$$$
Auburn Aesthetics,202 Cross St SE Suite 202,Auburn,98002,47.3067,-122.2234,"Medical Spa Services",$$$
Federal Way Medical Spa,31919 1st Ave S Suite 102,Federal Way,98003,47.3123,-122.3123,"Botox, Laser, Body Contouring",$$$
Olympia Laser & Skin Care,2818 Pacific Ave SE,Olympia,98501,47.0456,-122.8934,"Laser Treatments, Medical Facials",$$$
Tumwater MedSpa,1570 Trosper Rd SW,Tumwater,98512,47.0034,-122.9123,"Full Service Medical Spa",$$$
Tacoma Laser & Skin,1901 S Union Ave Suite A-203,Tacoma,98405,47.2423,-122.4756,"Laser, IPL, Chemical Peels",$$$
Northwest Dermatology & Aesthetics,1901 S Union Ave,Tacoma,98405,47.2423,-122.4756,"Dermatology & Medical Spa",$$$$
Puyallup Medical Spa,906 39th Ave SW Suite C,Puyallup,98373,47.1734,-122.3567,"Botox, Fillers, Laser",$$$
Sound Laser & Skin,3908 10th St SE,Puyallup,98374,47.1889,-122.2989,"Laser Hair Removal, Skin Treatments",$$$
Gig Harbor MedSpa,4700 Pt Fosdick Dr NW Suite 108,Gig Harbor,98335,47.3123,-122.5934,"Full Service Medical Spa",$$$$
Bremerton Aesthetics,1500 Sylvan Way,Bremerton,98310,47.5823,-122.6234,"Laser, Botox, Facials",$$$
Silverdale Medical Spa,9481 Silverdale Way NW,Silverdale,98383,47.6445,-122.6923,"Medical Spa Services",$$$
Everett Laser Clinic,2804 Lombard Ave Suite 100,Everett,98201,47.9734,-122.1989,"Laser Hair Removal, IPL",$$$
Cascades MedSpa,3327 Colby Ave Suite 1010,Everett,98201,47.9823,-122.1934,"Botox, Fillers, Body Contouring",$$$$
Marysville Aesthetics,1205 State Ave Suite D,Marysville,98270,48.0534,-122.1767,"Laser Treatments, Facials",$$$
Snohomish Valley MedSpa,1123 2nd St,Snohomish,98290,47.9134,-122.0989,"Full Service Medical Spa",$$$
Bellingham Laser & Skin,119 N Commercial St Suite 1480,Bellingham,98225,48.7523,-122.4823,"Laser, Medical Facials",$$$$
Fountain of Youth MedSpa,4280 Meridian St Suite 120,Bellingham,98226,48.7867,-122.4934,"Anti-aging, Injectables",$$$
Woodinville Dermatology,13317 NE 175th St,Woodinville,98072,47.7623,-122.1456,"Dermatology & Aesthetic Services",$$$$
The Spa at Salish Lodge,6501 Railroad Ave SE,Snoqualmie,98065,47.5412,-121.8234,"Luxury Medical Spa",$$$$
Eastside Aesthetics,15600 NE 8th St Suite A4,Bellevue,98008,47.6189,-122.1423,"Laser, Botox, Fillers",$$$$
